tail;head;relation
Chief Executives;chief executive officer;exactMatch
Chief Executives;chief operating officer;broadMatch
Chief Executives;airport chief executive;broadMatch
Chief Executives;social entrepreneur;broadMatch
Chief Sustainability Officers;corporate social responsibility manager;exactMatch
General and Operations Managers;operations manager;broadMatch
General and Operations Managers;library manager;broadMatch
General and Operations Managers;business manager;broadMatch
General and Operations Managers;chief operating officer;exactMatch
General and Operations Managers;airport director;broadMatch
General and Operations Managers;strategic planning manager;broadMatch
General and Operations Managers;textile operations manager;broadMatch
General and Operations Managers;tourism product manager;broadMatch
General and Operations Managers;wood factory manager;broadMatch
Legislators;senator;broadMatch
Legislators;member of parliament;broadMatch
Legislators;city councillor;broadMatch
Legislators;mayor;broadMatch
Legislators;governor;broadMatch
Advertising and Promotions Managers;promotion manager;exactMatch
Marketing Managers;marketing manager;exactMatch
Marketing Managers;clothing development manager;broadMatch
Marketing Managers;membership manager;broadMatch
Sales Managers;sales manager;exactMatch
Sales Managers;trade regional manager;broadMatch
Sales Managers;auction house manager;broadMatch
Sales Managers;category manager;broadMatch
Sales Managers;motor vehicle aftersales manager;broadMatch
Sales Managers;movie distributor;broadMatch
Public Relations Managers;public relations manager;exactMatch
Public Relations Managers;destination manager;broadMatch
Fundraising Managers;fundraising manager;exactMatch
Administrative Services Managers;defence administration officer;narrowMatch
Administrative Services Managers;membership manager;broadMatch
Facilities Managers;manufacturing facility manager;broadMatch
Facilities Managers;facilities manager;exactMatch
Security Managers;hospitality establishment security officer;broadMatch
Security Managers;security manager;exactMatch
Security Managers;airside safety manager;broadMatch
Computer and Information Systems Managers;ICT security manager;broadMatch
Computer and Information Systems Managers;aviation data communications manager;broadMatch
Financial Managers;bank treasurer;broadMatch
Financial Managers;bank manager;broadMatch
Financial Managers;banking products manager;broadMatch
Financial Managers;brokerage firm director;broadMatch
Financial Managers;pension scheme manager;broadMatch
Treasurers and Controllers;financial manager;narrowMatch
Treasurers and Controllers;public finance accountant;broadMatch
Treasurers and Controllers;bank treasurer;broadMatch
Treasurers and Controllers;corporate treasurer;exactMatch
