head;relation;tail
veterinarians;narrowMatch;veterinary scientist
stevedore;broadMatch;freight handlers
freight handlers;narrowMatch;stevedore
materials handler;broadMatch;freight handlers
freight handlers;narrowMatch;materials handler
airport baggage handler;broadMatch;freight handlers
freight handlers;narrowMatch;airport baggage handler
warehouse worker;broadMatch;freight handlers
freight handlers;narrowMatch;warehouse worker
distribution centre dispatcher;broadMatch;freight handlers
freight handlers;narrowMatch;distribution centre dispatcher
credit analyst;broadMatch;credit adviser
credit adviser;narrowMatch;credit analyst
ict buyer;broadMatch;purchaser
purchaser;narrowMatch;ict buyer
green coffee buyer;broadMatch;purchaser
purchaser;narrowMatch;green coffee buyer
purchase planner;broadMatch;purchaser
purchaser;narrowMatch;purchase planner
textile sourcing merchandiser;broadMatch;purchaser
purchaser;narrowMatch;textile sourcing merchandiser
minister of religion;broadMatch;religious professionals
religious professionals;narrowMatch;minister of religion
chaplain;broadMatch;religious professionals
freight handlers;narrowMatch;mover
mover;broadMatch;freight handlers
freight handlers;narrowMatch;stevedore superintendent
stevedore superintendent;broadMatch;freight handlers
viticulture adviser;broadMatch;agricultural technician
agricultural technician;narrowMatch;viticulture adviser
aquaculture site supervisor;broadMatch;agricultural technician
agricultural technician;narrowMatch;aquaculture site supervisor
aquaculture quality supervisor;broadMatch;agricultural technician
agricultural technician;narrowMatch;aquaculture quality supervisor
agricultural technician;broadMatch;agricultural technicians
agricultural technicians;narrowMatch;agricultural technician
boat rigger;broadMatch;rigger
rigger;narrowMatch;boat rigger
ground rigger;broadMatch;rigger
religious professionals;narrowMatch;chaplain
rigger;narrowMatch;ground rigger
rigger;narrowMatch;high rigger
hawker;broadMatch;street vendors (excluding food)
street vendors (excluding food);narrowMatch;hawker
human resources assistant;broadMatch;personnel clerks
personnel clerks;narrowMatch;human resources assistant
dance répétiteur;broadMatch;choreographer
choreographer;narrowMatch;dance répétiteur
choreologist;broadMatch;choreographer
choreographer;narrowMatch;choreologist
rail intermodal equipment operator;broadMatch;freight handlers
freight handlers;narrowMatch;rail intermodal equipment operator
high rigger;broadMatch;rigger
religion scientific researcher;broadMatch;religious professionals
religious professionals;narrowMatch;religion scientific researcher
missionary;broadMatch;religious professionals
financial manager;narrowMatch;budget manager
financial manager;broadMatch;finance managers
finance managers;narrowMatch;financial manager
webmaster;broadMatch;web technicians
web technicians;narrowMatch;webmaster
air traffic safety technician;broadMatch;air traffic safety electronics technicians
air traffic safety electronics technicians;narrowMatch;air traffic safety technician
blockchain architect;broadMatch;ict system architect
ict system architect;narrowMatch;blockchain architect
street artist;broadMatch;creative and performing artists not elsewhere classified
creative and performing artists not elsewhere classified;narrowMatch;street artist
budget manager;broadMatch;financial manager
performance artist;broadMatch;creative and performing artists not elsewhere classified
community artist;broadMatch;creative and performing artists not elsewhere classified
creative and performing artists not elsewhere classified;narrowMatch;community artist
tourist animator;broadMatch;creative and performing artists not elsewhere classified
creative and performing artists not elsewhere classified;narrowMatch;tourist animator
prepared meals nutritionist;broadMatch;dietitian
dietitian;narrowMatch;prepared meals nutritionist
dietitian;broadMatch;dieticians and nutritionists
dieticians and nutritionists;narrowMatch;dietitian
knitting textile technician;broadMatch;knitting machine operator
knitting machine operator;narrowMatch;knitting textile technician
knitting machine supervisor;broadMatch;knitting machine operator
creative and performing artists not elsewhere classified;narrowMatch;performance artist
prison guards;narrowMatch;juvenile correctional officer
financial manager;narrowMatch;corporate treasurer
financial manager;narrowMatch;bank treasurer
religious professionals;narrowMatch;missionary
wig and hairpiece maker;broadMatch;tailors, dressmakers, furriers and hatters
tailors, dressmakers, furriers and hatters;narrowMatch;wig and hairpiece maker
dressmaker;broadMatch;tailors, dressmakers, furriers and hatters
tailors, dressmakers, furriers and hatters;narrowMatch;dressmaker
hide grader;broadMatch;tailors, dressmakers, furriers and hatters
tailors, dressmakers, furriers and hatters;narrowMatch;hide grader
milliner;broadMatch;tailors, dressmakers, furriers and hatters
tailors, dressmakers, furriers and hatters;narrowMatch;milliner
costume maker;broadMatch;tailors, dressmakers, furriers and hatters
tailors, dressmakers, furriers and hatters;narrowMatch;costume maker
corporate treasurer;broadMatch;financial manager
tailor;broadMatch;tailors, dressmakers, furriers and hatters
relationship banking manager;broadMatch;financial planner
financial planner;narrowMatch;relationship banking manager
aviation data communications manager;broadMatch;computer network and systems technicians
computer network and systems technicians;narrowMatch;aviation data communications manager
ict network technician;broadMatch;computer network and systems technicians
computer network and systems technicians;narrowMatch;ict network technician
refuse collector;broadMatch;garbage and recycling collectors
garbage and recycling collectors;narrowMatch;refuse collector
accounting manager;broadMatch;financial manager
financial manager;narrowMatch;accounting manager
bank treasurer;broadMatch;financial manager
tailors, dressmakers, furriers and hatters;narrowMatch;tailor
juvenile correctional officer;broadMatch;prison guards
prison guards;narrowMatch;prison officer
prison officer;broadMatch;prison guards
special educational needs teacher primary school;broadMatch;special educational needs teacher
special educational needs teacher;narrowMatch;special educational needs teacher primary school
early years special educational needs teacher;broadMatch;special educational needs teacher
special educational needs teacher;narrowMatch;early years special educational needs teacher
special educational needs teacher secondary school;broadMatch;special educational needs teacher
special educational needs teacher;narrowMatch;special educational needs teacher secondary school
learning support teacher;broadMatch;special educational needs teacher
special educational needs teacher;narrowMatch;learning support teacher
adult literacy teacher;broadMatch;special educational needs teacher
special educational needs teacher;narrowMatch;adult literacy teacher
special educational needs itinerant teacher;broadMatch;special educational needs teacher
service station attendants;narrowMatch;fuel station specialised seller
special educational needs teacher;narrowMatch;special educational needs itinerant teacher
special needs teachers;narrowMatch;teacher of talented and gifted students
special educational needs teacher;broadMatch;special needs teachers
special needs teachers;narrowMatch;special educational needs teacher
advanced physiotherapist;broadMatch;physiotherapists
physiotherapists;narrowMatch;advanced physiotherapist
physiotherapist;broadMatch;physiotherapists
physiotherapists;narrowMatch;physiotherapist
halal butcher;broadMatch;butcher
butcher;narrowMatch;halal butcher
kosher butcher;broadMatch;butcher
butcher;narrowMatch;kosher butcher
teacher of talented and gifted students;broadMatch;special needs teachers
ict usability tester;broadMatch;software tester
fuel station specialised seller;broadMatch;service station attendants
embassy counsellor;broadMatch;diplomat
installation engineer;broadMatch;application engineer
application engineer;narrowMatch;installation engineer
design engineer;broadMatch;application engineer
application engineer;narrowMatch;design engineer
research engineer;broadMatch;application engineer
application engineer;narrowMatch;research engineer
midwife;broadMatch;midwifery professionals
midwifery professionals;narrowMatch;midwife
oil mill operator;broadMatch;fruit, vegetable and related preservers
fruit, vegetable and related preservers;narrowMatch;oil mill operator
fruit and vegetable preserver;broadMatch;fruit, vegetable and related preservers
diplomat;narrowMatch;embassy counsellor
fruit, vegetable and related preservers;narrowMatch;fruit and vegetable preserver
fruit, vegetable and related preservers;narrowMatch;oilseed presser
leisure attendant;broadMatch;fitness instructor
fitness instructor;narrowMatch;leisure attendant
pilates teacher;broadMatch;fitness instructor
fitness instructor;narrowMatch;pilates teacher
personal trainer;broadMatch;fitness instructor
fitness instructor;narrowMatch;personal trainer
sport therapist;broadMatch;fitness instructor
fitness instructor;narrowMatch;sport therapist
ambassador;broadMatch;diplomat
diplomat;narrowMatch;ambassador
oilseed presser;broadMatch;fruit, vegetable and related preservers
knitting machine operator;narrowMatch;knitting machine supervisor
software tester;narrowMatch;ict usability tester
software tester;narrowMatch;ict integration tester
education programme coordinator;broadMatch;headteacher
headteacher;narrowMatch;education programme coordinator
special educational needs head teacher;broadMatch;headteacher
headteacher;narrowMatch;special educational needs head teacher
further education principal;broadMatch;headteacher
headteacher;narrowMatch;further education principal
headteacher;broadMatch;education managers
education managers;narrowMatch;headteacher
medical transcriptionist;broadMatch;medical secretaries
medical secretaries;narrowMatch;medical transcriptionist
medical administrative assistant;broadMatch;medical secretaries
headteacher;narrowMatch;secondary school head teacher
medical secretaries;narrowMatch;medical administrative assistant
medical secretaries;narrowMatch;medical practice manager
insulation worker;broadMatch;insulation workers
insulation workers;narrowMatch;insulation worker
campaign canvasser;broadMatch;political campaign officer
political campaign officer;narrowMatch;campaign canvasser
forestry technician;broadMatch;forestry technicians
forestry technicians;narrowMatch;forestry technician
kitchen porter;broadMatch;kitchen helpers
kitchen helpers;narrowMatch;kitchen porter
kitchen assistant;broadMatch;kitchen helpers
kitchen helpers;narrowMatch;kitchen assistant
medical practice manager;broadMatch;medical secretaries
ict integration tester;broadMatch;software tester
secondary school head teacher;broadMatch;headteacher
head of higher education institutions;broadMatch;headteacher
digital games tester;broadMatch;software tester
software tester;narrowMatch;digital games tester
ict accessibility tester;broadMatch;software tester
software tester;narrowMatch;ict accessibility tester
ict system tester;broadMatch;software tester
software tester;narrowMatch;ict system tester
interior planner;broadMatch;interior designer
interior designer;narrowMatch;interior planner
photographic developer;broadMatch;photographic products machine operators
photographic products machine operators;narrowMatch;photographic developer
motion picture film developer;broadMatch;photographic products machine operators
headteacher;narrowMatch;head of higher education institutions
photographic products machine operators;narrowMatch;motion picture film developer
restaurant managers;narrowMatch;restaurant manager
primary school head teacher;broadMatch;headteacher
headteacher;narrowMatch;primary school head teacher
university department head;broadMatch;headteacher
headteacher;narrowMatch;university department head
secondary school department head;broadMatch;headteacher
headteacher;narrowMatch;secondary school department head
dean of faculty;broadMatch;headteacher
headteacher;narrowMatch;dean of faculty
deputy head teacher;broadMatch;headteacher
headteacher;narrowMatch;deputy head teacher
restaurant manager;broadMatch;restaurant managers
weaving machine operator;broadMatch;weaving and knitting machine operators
weaving and knitting machine operators;narrowMatch;weaving machine operator
textile machine operator;broadMatch;weaving and knitting machine operators
woodworking-machine tool setters and operators;narrowMatch;wooden furniture machine operator
