head;relation;tail
management occupations;narrowMatch;top executives
dispatchers, except police, fire, and ambulance;broadMatch;dispatchers
postal service workers;narrowMatch;postal service clerks
postal service clerks;broadMatch;postal service workers
postal service workers;narrowMatch;postal service mail carriers
postal service mail carriers;broadMatch;postal service workers
postal service workers;narrowMatch;postal service mail sorters, processors, and processing machine operators
postal service mail sorters, processors, and processing machine operators;broadMatch;postal service workers
dispatchers;narrowMatch;dispatchers, except police, fire, and ambulance
secretaries and administrative assistants;narrowMatch;executive secretaries and executive administrative assistants
secretaries and administrative assistants;narrowMatch;legal secretaries and administrative assistants
legal secretaries and administrative assistants;broadMatch;secretaries and administrative assistants
secretaries and administrative assistants;narrowMatch;medical secretaries and administrative assistants
medical secretaries and administrative assistants;broadMatch;secretaries and administrative assistants
secretaries and administrative assistants;narrowMatch;secretaries and administrative assistants, except legal, medical, and executive
secretaries and administrative assistants, except legal, medical, and executive;broadMatch;secretaries and administrative assistants
other office and administrative support workers;narrowMatch;data entry and information processing workers
executive secretaries and executive administrative assistants;broadMatch;secretaries and administrative assistants
public safety telecommunicators;broadMatch;dispatchers
dispatchers;narrowMatch;public safety telecommunicators
freight forwarders;broadMatch;cargo and freight agents
material recording, scheduling, dispatching, and distributing workers;narrowMatch;cargo and freight agents
cargo and freight agents;broadMatch;material recording, scheduling, dispatching, and distributing workers
material recording, scheduling, dispatching, and distributing workers;narrowMatch;couriers and messengers
couriers and messengers;broadMatch;material recording, scheduling, dispatching, and distributing workers
material recording, scheduling, dispatching, and distributing workers;narrowMatch;dispatchers
dispatchers;broadMatch;material recording, scheduling, dispatching, and distributing workers
material recording, scheduling, dispatching, and distributing workers;narrowMatch;meter readers, utilities
meter readers, utilities;broadMatch;material recording, scheduling, dispatching, and distributing workers
material recording, scheduling, dispatching, and distributing workers;narrowMatch;postal service workers
postal service workers;broadMatch;material recording, scheduling, dispatching, and distributing workers
material recording, scheduling, dispatching, and distributing workers;narrowMatch;production, planning, and expediting clerks
production, planning, and expediting clerks;broadMatch;material recording, scheduling, dispatching, and distributing workers
material recording, scheduling, dispatching, and distributing workers;narrowMatch;shipping, receiving, and inventory clerks
shipping, receiving, and inventory clerks;broadMatch;material recording, scheduling, dispatching, and distributing workers
material recording, scheduling, dispatching, and distributing workers;narrowMatch;weighers, measurers, checkers, and samplers, recordkeeping
weighers, measurers, checkers, and samplers, recordkeeping;broadMatch;material recording, scheduling, dispatching, and distributing workers
cargo and freight agents;narrowMatch;freight forwarders
data entry and information processing workers;broadMatch;other office and administrative support workers
information and record clerks, all other;broadMatch;miscellaneous information and record clerks
other office and administrative support workers;narrowMatch;desktop publishers
other office and administrative support workers;narrowMatch;insurance claims and policy processing clerks
farming, fishing, and forestry occupations;narrowMatch;agricultural workers
agricultural workers;broadMatch;farming, fishing, and forestry occupations
farming, fishing, and forestry occupations;narrowMatch;fishing and hunting workers
fishing and hunting workers;broadMatch;farming, fishing, and forestry occupations
farming, fishing, and forestry occupations;narrowMatch;forest, conservation, and logging workers
forest, conservation, and logging workers;broadMatch;farming, fishing, and forestry occupations
supervisors of farming, fishing, and forestry workers;narrowMatch;first-line supervisors of farming, fishing, and forestry workers
supervisors of farming, fishing, and forestry workers;broadMatch;farming, fishing, and forestry occupations
first-line supervisors of farming, fishing, and forestry workers;broadMatch;supervisors of farming, fishing, and forestry workers
agricultural inspectors;broadMatch;agricultural workers
agricultural workers;narrowMatch;animal breeders
animal breeders;broadMatch;agricultural workers
agricultural workers;narrowMatch;graders and sorters, agricultural products
graders and sorters, agricultural products;broadMatch;agricultural workers
agricultural workers;narrowMatch;miscellaneous agricultural workers
miscellaneous agricultural workers;broadMatch;agricultural workers
agricultural workers;narrowMatch;agricultural inspectors
farming, fishing, and forestry occupations;narrowMatch;supervisors of farming, fishing, and forestry workers
office and administrative support workers, all other;broadMatch;miscellaneous office and administrative support workers
miscellaneous office and administrative support workers;narrowMatch;office and administrative support workers, all other
insurance claims and policy processing clerks;broadMatch;other office and administrative support workers
other office and administrative support workers;narrowMatch;mail clerks and mail machine operators, except postal service
mail clerks and mail machine operators, except postal service;broadMatch;other office and administrative support workers
other office and administrative support workers;narrowMatch;office clerks, general
office clerks, general;broadMatch;other office and administrative support workers
other office and administrative support workers;narrowMatch;office machine operators, except computer
office machine operators, except computer;broadMatch;other office and administrative support workers
other office and administrative support workers;narrowMatch;proofreaders and copy markers
proofreaders and copy markers;broadMatch;other office and administrative support workers
other office and administrative support workers;narrowMatch;statistical assistants
statistical assistants;broadMatch;other office and administrative support workers
other office and administrative support workers;narrowMatch;miscellaneous office and administrative support workers
miscellaneous office and administrative support workers;broadMatch;other office and administrative support workers
data entry and information processing workers;narrowMatch;data entry keyers
data entry keyers;broadMatch;data entry and information processing workers
data entry and information processing workers;narrowMatch;word processors and typists
word processors and typists;broadMatch;data entry and information processing workers
desktop publishers;broadMatch;other office and administrative support workers
miscellaneous agricultural workers;narrowMatch;agricultural equipment operators
miscellaneous information and record clerks;narrowMatch;information and record clerks, all other
information and record clerks;narrowMatch;miscellaneous information and record clerks
switchboard operators, including answering service;broadMatch;communications equipment operators
communications equipment operators;narrowMatch;telephone operators
telephone operators;broadMatch;communications equipment operators
communications equipment operators;narrowMatch;miscellaneous communications equipment operators
miscellaneous communications equipment operators;broadMatch;communications equipment operators
miscellaneous communications equipment operators;narrowMatch;communications equipment operators, all other
communications equipment operators, all other;broadMatch;miscellaneous communications equipment operators
communications equipment operators;narrowMatch;switchboard operators, including answering service
financial clerks;narrowMatch;bill and account collectors
financial clerks;narrowMatch;billing and posting clerks
billing and posting clerks;broadMatch;financial clerks
financial clerks;narrowMatch;bookkeeping, accounting, and auditing clerks
bookkeeping, accounting, and auditing clerks;broadMatch;financial clerks
financial clerks;narrowMatch;gambling cage workers
gambling cage workers;broadMatch;financial clerks
financial clerks;narrowMatch;payroll and timekeeping clerks
bill and account collectors;broadMatch;financial clerks
first-line supervisors of office and administrative support workers;broadMatch;supervisors of office and administrative support workers
supervisors of office and administrative support workers;narrowMatch;first-line supervisors of office and administrative support workers
other office and administrative support workers;broadMatch;office and administrative support occupations
miscellaneous sales and related workers;narrowMatch;door-to-door sales workers, news and street vendors, and related workers
door-to-door sales workers, news and street vendors, and related workers;broadMatch;miscellaneous sales and related workers
miscellaneous sales and related workers;narrowMatch;sales and related workers, all other
sales and related workers, all other;broadMatch;miscellaneous sales and related workers
office and administrative support occupations;narrowMatch;supervisors of office and administrative support workers
supervisors of office and administrative support workers;broadMatch;office and administrative support occupations
office and administrative support occupations;narrowMatch;communications equipment operators
communications equipment operators;broadMatch;office and administrative support occupations
office and administrative support occupations;narrowMatch;financial clerks
financial clerks;broadMatch;office and administrative support occupations
office and administrative support occupations;narrowMatch;information and record clerks
information and record clerks;broadMatch;office and administrative support occupations
office and administrative support occupations;narrowMatch;material recording, scheduling, dispatching, and distributing workers
material recording, scheduling, dispatching, and distributing workers;broadMatch;office and administrative support occupations
office and administrative support occupations;narrowMatch;secretaries and administrative assistants
secretaries and administrative assistants;broadMatch;office and administrative support occupations
office and administrative support occupations;narrowMatch;other office and administrative support workers
payroll and timekeeping clerks;broadMatch;financial clerks
miscellaneous information and record clerks;broadMatch;information and record clerks
financial clerks;narrowMatch;procurement clerks
financial clerks;narrowMatch;tellers
information and record clerks;narrowMatch;interviewers, except eligibility and loan
interviewers, except eligibility and loan;broadMatch;information and record clerks
information and record clerks;narrowMatch;library assistants, clerical
library assistants, clerical;broadMatch;information and record clerks
information and record clerks;narrowMatch;loan interviewers and clerks
loan interviewers and clerks;broadMatch;information and record clerks
information and record clerks;narrowMatch;new accounts clerks
hotel, motel, and resort desk clerks;broadMatch;information and record clerks
new accounts clerks;broadMatch;information and record clerks
order clerks;broadMatch;information and record clerks
information and record clerks;narrowMatch;human resources assistants, except payroll and timekeeping
human resources assistants, except payroll and timekeeping;broadMatch;information and record clerks
information and record clerks;narrowMatch;receptionists and information clerks
receptionists and information clerks;broadMatch;information and record clerks
information and record clerks;narrowMatch;reservation and transportation ticket agents and travel clerks
reservation and transportation ticket agents and travel clerks;broadMatch;information and record clerks
information and record clerks;narrowMatch;order clerks
information and record clerks;narrowMatch;hotel, motel, and resort desk clerks
file clerks;broadMatch;information and record clerks
information and record clerks;narrowMatch;file clerks
tellers;broadMatch;financial clerks
financial clerks;narrowMatch;miscellaneous financial clerks
