parent;predicate;child;parentLabel;childLabel
http://data.europa.eu/esco/isco/C2250;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/557f9ccc-4e46-4bb2-8d20-272cd978b152;Dierenartsen;veterinair wetenschapper
http://data.europa.eu/esco/isco/C225;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/isco/C2250;Dierenartsen;Dierenartsen
http://data.europa.eu/esco/isco/C2;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/isco/C22;Intellectuele, wetenschappelijke en artistieke beroepen;Specialisten op het gebied van de gezondheidszorg
http://data.europa.eu/esco/isco/C22;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/isco/C225;Specialisten op het gebied van de gezondheidszorg;Dierenartsen
http://data.europa.eu/esco/isco/C2250;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/e81269d8-f301-4c82-9235-ba33ec9b0434;Dierenartsen;dierenosteopaat
http://data.europa.eu/esco/isco/C2250;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/eb6efbb9-9216-4e86-bc3b-de2223cd4667;Dierenartsen;algemeen dierenarts
http://data.europa.eu/esco/isco/C2250;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/4ce42c3c-8a46-40b6-9274-1f5cee3c5cba;Dierenartsen;officiële dierenarts
http://data.europa.eu/esco/isco/C2250;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/8467dda9-34c6-4c6f-aa37-e7bddffac007;Dierenartsen;gezondheidswerker waterdieren
http://data.europa.eu/esco/isco/C2250;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/08984bec-31d8-4bb0-aa2f-d557761ff029;Dierenartsen;gespecialiseerd dierenarts
http://data.europa.eu/esco/isco/C2250;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/be2896db-9ab7-4719-a558-96b18c93027d;Dierenartsen;dierenchiropractor
http://data.europa.eu/esco/isco/C2250;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/0b2d3242-22a3-4de5-bd29-efd39cdf2c31;Dierenartsen;dierentherapeut
http://data.europa.eu/esco/isco/C2250;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/occupation/5beafebe-9211-4b3a-adf1-6161097a3975;Dierenartsen;dierenfysiotherapeut
http://data.europa.eu/esco/isco/C22;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/isco/C226;Specialisten op het gebied van de gezondheidszorg;Andere specialisten op het gebied van de gezondheidszorg
http://data.europa.eu/esco/isco/C22;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/isco/C223;Specialisten op het gebied van de gezondheidszorg;Specialisten op het gebied van de traditionele en de alternatieve geneeskunde
http://data.europa.eu/esco/isco/C22;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/isco/C221;Specialisten op het gebied van de gezondheidszorg;Artsen
http://data.europa.eu/esco/isco/C22;http://www.w3.org/2004/02/skos/core#narrower;http://data.europa.eu/esco/isco/C222;Specialisten op het gebied van de gezondheidszorg;Verpleegkundigen met hogere opleiding en verloskundigen
