head;relation;tail;original_relation
loopbaanadviseur;exactMatch;Loopbaanadviseur;
islamitisch slager;exactMatch;Islamitisch slager;
islamitisch slager;narrowMatch;Verkoopmedewerker islamitische slagerij;
islamitisch slager;narrowMatch;Bedrijfsleider / ondernemer islamitische slagerij;broadMatch
operator spinmachine;broadMatch;Operator vezelverwerking;
spinner kunstvezel;broadMatch;Operator vezelverwerking;
garenspinner;broadMatch;Operator vezelverwerking;
operator twijnmachine;broadMatch;Operator vezelverwerking;
operator vlechtmachine;broadMatch;Operator vezelverwerking;
operator wikkelmachine textielindustrie;broadMatch;Operator garenverwerking;
operator breimachine;broadMatch;Operator garenverwerking;
supervisor breimachine;broadMatch;Operator garenverwerking;
breitechnicus;broadMatch;Operator garenverwerking;
operator textielmachines;exactMatch;Operator garenverwerking;broadMatch
operator weefmachine;broadMatch;Operator garenverwerking;
operator tuften;broadMatch;Operator garenverwerking;
supervisor weven;broadMatch;Operator garenverwerking;
textieltechnicus weverij;broadMatch;Operator garenverwerking;
textieldrukker;broadMatch;Operator veredeling textiel;
technicus textieldruk;broadMatch;Operator veredeling textiel;
technicus textielafwerking;broadMatch;Operator veredeling textiel;
technicus verven van textiel;broadMatch;Operator veredeling textiel;
textielverver;broadMatch;Operator veredeling textiel;
afwerker textiel;broadMatch;Operator veredeling textiel;
operator non-wovens;broadMatch;Operator veredeling textiel;
operator textieldessins;broadMatch;Operator veredeling textiel;
kapper;narrowMatch;Afrokapper;
kapper;narrowMatch;Eerste kapper;broadMatch
kapper;narrowMatch;Bedrijfsleider / ondernemer kapperszaak;
kapper;narrowMatch;Dames- en herenkapper;broadMatch
herder;narrowMatch;Schaapherder;exactMatch
kwaliteitsinspecteur;narrowMatch;Keurmeester eierveiling;
kwaliteitsinspecteur;narrowMatch;Keurmeester groente en fruit;
kwaliteitsinspecteur;narrowMatch;Kwaliteitsmanager agrarische producten;
kwaliteitsinspecteur;narrowMatch;Keurmeester boomkwekerijgewassen;
kwaliteitsinspecteur;narrowMatch;Keurmeester groentegewassen;
kwaliteitsinspecteur;narrowMatch;Keurmeester bloemisterijgewassen;
kwaliteitsinspecteur;narrowMatch;Keurmeester paardenstamboek;
kwaliteitsinspecteur;narrowMatch;Keurmeester bloemen;
kwaliteitsinspecteur;narrowMatch;Keurmeester zaaizaad en pootgoed van landbouwgewassen;
kwaliteitsinspecteur;narrowMatch;Keurmeester rundveestamboek;
landbouwtechnicus;narrowMatch;Keurmeester eierveiling;
landbouwtechnicus;narrowMatch;Keurmeester groente en fruit;
landbouwtechnicus;narrowMatch;Selecteur bloembollen;
landbouwtechnicus;narrowMatch;Kwaliteitsmanager agrarische producten;
landbouwtechnicus;narrowMatch;Selecteur groentezaden;
landbouwtechnicus;narrowMatch;Selecteur bloemen;
landbouwtechnicus;narrowMatch;Selecteur landbouwgewassen;
landbouwtechnicus;narrowMatch;Productiespecialist zaadteelt;
landbouwtechnicus;narrowMatch;Keurmeester boomkwekerijgewassen;
landbouwtechnicus;narrowMatch;Keurmeester groentegewassen;
landbouwtechnicus;narrowMatch;Keurmeester bloemisterijgewassen;
landbouwtechnicus;narrowMatch;Keurmeester bloemen;
