index;preferredLabel;altLabels
0;career advisor;career counsellor
1;Islamic butcher;halal butcher
1;Islamic butcher;assistant Islamic butcher
1;Islamic butcher;islamic butcher's assistant
2;Islamic butcher;halal butcher
2;Islamic butcher;islamic butcher's assistant
2;Islamic butcher;assistant Islamic butcher
3;Islamic butcher;Halal butcher
3;Islamic butcher;assistant Islamic butcher
3;Islamic butcher;assistant Islamic butcher
4;spinning machine operator;operator spinning machine
4;spinning machine operator;spinner
4;spinning machine operator;spinner
5;synthetic fibre spinner;synthetic fibre operator
5;synthetic fibre spinner;synthetic fibre operator
5;synthetic fibre spinner;synthetic fibre spinner
5;synthetic fibre spinner;spinner synthetic fibre
5;synthetic fibre spinner;spinner synthetic fibre
5;synthetic fibre spinner;spinner synthetic fibre
6;yarn spinner;operator yarn spinner
6;yarn spinner;yarn spinner
6;yarn spinner;cotton spinner
6;yarn spinner;cotton spinner
6;yarn spinner;yarn spinner
7;operator twisting machine;twiner
7;operator twisting machine;twinner operator
7;operator twisting machine;twinner
7;operator twisting machine;twine operator
7;operator twisting machine;twiner
8;operator braiding machine;braiding machine operator
8;operator braiding machine;braider
8;operator braiding machine;foreman braider
8;operator braiding machine;forewoman braider
8;operator braiding machine;plaiter (textile)
8;operator braiding machine;plaiter (textile)
8;operator braiding machine;weaver
9;weaver;weaving machine operator
9;weaver;handloom weaver
9;weaver;textile worker (weaving)
9;weaver;weaver (weaving machine)
9;weaver;weaver
9;weaver;weaver (handloom)
9;weaver;weaver (handloom)
9;weaver;textile worker (weaving)
9;weaver;handloom weaver
9;weaver;weaver (weaving machine)
10;operator winding machine textile industry;winder operator (textile)
10;operator winding machine textile industry;winder operator textile industry
10;operator winding machine textile industry;winder operator (textile)
11;knitting machine operator;machine knitter
11;knitting machine operator;machine knitter
11;knitting machine operator;knitter (knitting machine)
11;knitting machine operator;knitter (knitting machine)
11;knitting machine operator;knitting machine operator
11;knitting machine operator;knitting machine operator
12;knitting machine supervisor;foreman knitting
12;knitting machine supervisor;foreman knitting
12;knitting machine supervisor;foreman knitting
13;knitting technician;textile technician knitting
13;knitting technician;knitting technician
13;knitting technician;textile technician knitting
13;knitting technician;knitting technician
14;textile machinery operator;textile operator
14;textile machinery operator;textile machinery operator
15;weaving machine operator;machine weaver
15;weaving machine operator;machine weaver
15;weaving machine operator;weaving operator
15;weaving machine operator;weaving machine operator
15;weaving machine operator;loom operator
15;weaving machine operator;loom operator
15;weaving machine operator;operator textile production machines
16;tufting operator;tufting machine
16;tufting operator;tufting machine operator
16;tufting operator;tufting machine operator
17;weaving supervisor;weaving foreman
17;weaving supervisor;weaving foreman
17;weaving supervisor;foreman weaving
18;weaving technician;weaving passement operator
18;weaving technician;Jacquard weaving machine operator
18;weaving technician;operator warp machine
18;weaving technician;weaving technician
18;weaving technician;shearing machine operator (weaving)
18;weaving technician;Jacquard machine operator
19;textile printer;textile printer
19;textile printer;textile screen printer
19;textile printer;textile printer
20;textile printing technician;textile printing technician
20;textile printing technician;textile printing technician
21;textile finishing technician;operator bleaching machine
21;textile finishing technician;textile finishing technician
21;textile finishing technician;technician textile finishing
22;textile dyeing technician;technician industrial textile dyeing
22;textile dyeing technician;textile dyeing supervisor
22;textile dyeing technician;textile dyeing technician
22;textile dyeing technician;industrial textile dyeing technician
23;textile dyer;operator textile dyeing machine
23;textile dyer;textile dyer
23;textile dyer;operator industrial dyeing of textiles
24;textile finisher;textile processor
24;textile finisher;textile finisher
24;textile finisher;textile finishing assistant
24;textile finisher;textile finishing assistant
24;textile finisher;operator textile finishing
25;non-wovens operator;felt production assistant
25;non-wovens operator;felt production assistant
25;non-wovens operator;operator non-woven fabric production
25;non-wovens operator;operator machinery for non-woven products
25;non-wovens operator;operator non-wovens production line
