preferredLabel;altLabels
career advisor;career counselor
Islamic butcher;halal butcher
operator spinner;operator spinning machine
synthetic fibre spinner;operator synthetic fibres
yarn spinner;operator yarn spinner
twisting machine operator;twiner
braiding machine operator;braiding machine operator
weaver;operator weaving machine
winder operator textile industry;winder operator (textile)
knitting machine operator;machine knitter
knitting machine supervisor;foreman knitting shop
knitting technician;textile technician knitting
textile machine operator;textile operator
weaving machine operator;machine weaver
tufting operator;tufter
weaving supervisor;weaving foreman
textile technician weaving;operator passement weaving
textile printer;textile printer
textile printing technician;textile printing technician
textile finishing technician;bleaching machine operator
textile dyeing technician;industrial textile dyeing technician
textile dyer;operator textile dyeing machine
textile finisher;textile processor
non-wovens operator;felt production assistant
operator textile designs;operator pattern machine (textile)
hairdresser;woman hairdresser
shepherd; sheepherder
quality inspector;quality inspector
agricultural technician;agricultural crop selector
horticultural technician;employee greenhouse horticulture
tree grower;fruit grower
vineyard machinist;winery machinist
botanist;gardener
agricultural scientist;scientific researcher in agricultural economics
higher education nursing lecturer;nursing lecturer
instructor drivers of railway vehicles;instructor train drivers
singer;street singer
employee recreational activities;employee amusement arcade
musician;professional musician
machine operator chemical bonding non-wovens;machine operator non-wovens (chemical)
ginning machine operator;cotton ginning machine operator
ICT trainer;ICT trainer
teacher of modern languages in secondary education;teacher of modern languages in secondary education
sports manager;football club manager
event organisation assistant;assistant to the event manager
event organiser;impresario
event manager;person responsible for events
event venue manager;event venue manager
commercial driver instructor;commercial driver instructor
pilot;pilot
designer of miniature film sets and props;designer of miniature film props
model builder;model maker
gunsmith;weapon repairer
vocational teacher;vocational education teacher
optometrist;optometrist
team leader electricians;supervisor of electrical works
building supervisor;construction site manager
aquaculture quality controller;aquaculture expert
tax inspector;tax inspector
agricultural engineer;agricultural engineer
ATM service technician;ATM maintenance worker
biomedical technologist;biomedical technology engineer
orthopaedic technician;prosthetician
cook;potager
pasta maker;pasta chef
general nurse;general care nurse
electricity transmission network dispatcher;foreman cable worker low and medium voltage networks
fitter of overhead lines;placer of overhead lines and cables
transporter of live animals;transporter of live animals
lorry driver;road tanker driver
specialised nurse;urology nurse
baker;pastry chef
interpreter;conference interpreter
translator;sworn interpreter
mould maker;mould maker
tool and die maker;tool and die maker
spark machine operator;EDM machine operator
call centre quality auditor;call centre quality auditor
contact centre supervisor;contact centre manager
call centre analyst;analyst in a call centre
call centre supervisor;call centre manager
account manager;key account manager
goldsmith;precious metal worker
jewellery setter;jewellery setter
jewellery repairer;jewellery repairer
gem setter;gem setter
jewellery designer;jewellery designer
silversmith;designer of medals
vocational guidance consultant;employment consultant
reintegration expert;career counsellor
kitchen fitter;kitchen installer
social security officer;social support act consultant
social worker guidance foreigners;social worker guidance foreign guest workers
body artist; body artist
medical nuclear worker;MBB nuclear medicine worker
health information and education consultant;health information and education consultant
shipbuilder;ship carpenter
riveting worker;assembly worker (riveting)
vessel assembly worker;vessel assembly worker
deckhand fishery;net cutter
skipper;inland skipper container and tanker shipping
captain of fishing vessel;captain cutter fishing
captain coastal fishing;captain fishing
sea angler;deep-sea fisherman
marine engineer;ship's engineer
watch engineer marine;engine driver passenger ships
assistant marine engineer;assistant marine engineer
boatswain;boatswain fishery
deck officer;coxswain on restricted waters
helmsman;helmswoman
residential supervisor adults with physical disabilities;residential supervisor adults with physical disabilities
attendant residential children with disabilities;attendant residential children with physical disabilities
supervisor residential adults with disabilities or addictions;supervisor residential adults with disabilities
attendant residential elderly with disabilities;attendant residential elderly with disabilities
Assistant in residential youth assistance;Assistant in residential youth assistance
nursing home assistant;nursing home assistant
aircraft tanker; airport employee aviation fuel
Hazardous goods driver;driver ADR
employee customer contact centre;employee customer contact centre
mechanic industrial machines;technician industrial machines
real estate leasing employee;employee leasing residential real estate
head of domestic service;head of household service
sales administration assistant;sales administration assistant
vocational sales and marketing teacher;vocational sales and marketing teacher
customer advisor;customer relations manager
customer service representative;customer service assistant
sales support assistant;sales support assistant
technical customer service representative;after-sales service technician
chat employee;online chat employee
banking customer advisor;commercial banking customer service assistant
business unit manager;project manager
managing director;managing director
managing director airport;managing director airport
operations manager;business manager
tanning consultant;employee tanning bed
handyman;jack-of-all-trades
car washer
ict business development manager;business development manager ict
interior designer;interior designer
interior consultant;colour and interior consultant
commercial director;commercial director
art teacher in secondary education;art teacher in secondary education
service quality manager;service quality manager
quality manager in industry;quality manager process industry
quality manager shoe production;quality manager shoe industry
quality controller;product control employee
night porter;night receptionist
employee housekeeping;employee housekeeping
minister;prime minister
Member of Parliament;Member of Parliament
Senator;Senatoress
Municipal councillor;member of the College of Aldermen
building contractor;housing contractor
production manager;production team leader
logistics employee;logistics employee
pizzaiolo;pizzaiola
Hospital social worker;hospital medical social worker
energy expert;consultant in energy consumption
energy expert residential buildings;consultant residential energy market
energy analyst;energy performance consultant
energy consumption consultant;energy conservation consultant
energy consultant;EPC officer
renewable energy consultant;renewable energy consultant
solar energy consultant;solar energy consultant
web content manager;web content manager
