head;tail;relation
Activity;Activity;0
Person;Person;0
Person;Natural Person;0
Natural Person;Person;0
Person;Person;0
Place;Location;0
Location;Place;0
Place;Place;0
Language;Language;0
School;School;0
Administrative Region;Administrative Area;0
Administrative Area;Administrative Region;0
Airport;Airport;0
Album;Music Album;0
Music Album;Album;0
Bank;Bank Or Credit Union;0
Bank Or Credit Union;Bank;0
Body Of Water;Body Of Water;0
Book;Book;0
Book;Book;0
City;City;0
Event;Event;0
Event;Event;0
Film;Movie;0
Movie;Film;0
Hotel;Hotel;0
Lake;Lake Body Of Water;0
Lake Body Of Water;Lake;0
Library;Library;0
Mountain;Mountain;0
Organisation;Organization;0
Organization;Organisation;0
Organisation;Social Person;0
Social Person;Organisation;0
Park;Park;0
Radio Station;Radio Station;0
Restaurant;Restaurant;0
Shopping Mall;Shopping Center;0
Shopping Center;Shopping Mall;0
Sports Event;Sports Event;0
Television Episode;TV Episode;0
TV Episode;Television Episode;0
Television Station;Television Station;0
Website;Web Site;0
Web Site;Website;0
Agent;Agent;0
Chemical Substance;Chemical Object;0
Chemical Object;Chemical Substance;0
Document;Document;0
Work;Creative Work;0
Creative Work;Work;0
Topical Concept;Concept;0
Concept;Topical Concept;0
Sports Team;Sports Team;0
River;River Body Of Water;0
River Body Of Water;River;0
Ski Area;Ski Resort;0
Ski Resort;Ski Area;0
company;organisation;1
organisation;company;2
person;animal;1
animal;person;2
actor;artist;1
artist;actor;2
publisher;company;1
company;publisher;2
genre;topical concept;1
topical concept;genre;2
department;governmental administrative region;1
governmental administrative region;department;2
software;work;1
work;software;2
school;educational institution;1
educational institution;school;2
type;topical concept;1
topical concept;type;2
moss;plant;1
plant;moss;2
videogames league;sports league;1
sports league;videogames league;2
ginkgo;plant;1
plant;ginkgo;2
coach;person;1
person;coach;2
sports manager;person;1
person;sports manager;2
winter sport Player;athlete;1
athlete;winter sport Player;2
cricket team;sports team;1
sports team;cricket team;2
military person;person;1
person;military person;2
speedway team;sports team;1
sports team;speedway team;2
volleyball league;sports league;1
sports league;volleyball league;2
academic journal;periodical literature;1
periodical literature;academic journal;2
administrative region;region;1
region;administrative region;2
aircraft;mean of transportation;1
mean of transportation;aircraft;2
airport;infrastructure;1
infrastructure;airport;2
album;musical work;1
musical work;album;2
american football player;gridiron football player;1
gridiron football player;american football player;2
amusement park attraction;architectural structure;1
architectural structure;amusement park attraction;2
Anime;cartoon;1
cartoon;Anime;2
artist;person;1
person;artist;2
artist discography;musical work;1
musical work;artist discography;2
artwork;work;1
work;artwork;2
asteroid;celestial body;1
celestial body;asteroid;2
automobile;mean of transportation;1
mean of transportation;automobile;2
automobile engine;engine;1
engine;automobile engine;2
Band;group;1
group;Band;2
bank;company;1
company;bank;2
baseball season;sports team season;1
sports team season;baseball season;2
basketball team;sports team;1
sports team;basketball team;2
beverage;Food;1
Food;beverage;2
body of water;natural place;1
natural place;body of water;2
book;written work;1
written work;book;2
bridge;route of transportation;1
route of transportation;bridge;2
building;architectural structure;1
architectural structure;building;2
bus company;public transit system;1
public transit system;bus company;2
chemical compound;chemical substance;1
chemical substance;chemical compound;2
city;settlement;1
settlement;city;2
city district;settlement;1
settlement;city district;2
classical music composition;musical work;1
musical work;classical music composition;2
Comedy Group;group;1
group;Comedy Group;2
comic;written work;1
written work;comic;2
comics character;fictional character;1
fictional character;comics character;2
convention;societal event;1
societal event;convention;2
criminal;person;1
person;criminal;2
cultivar (cultivated variety);plant;1
plant;cultivar (cultivated variety);2
cycling race;race;1
race;cycling race;2
cycling team;sports team;1
sports team;cycling team;2
drug;chemical substance;1
chemical substance;drug;2
earthquake;natural event;1
natural event;earthquake;2
Election;societal event;1
societal event;Election;2
engine;device;1
device;engine;2
enzyme;Biomolecule;1
Biomolecule;enzyme;2
Eurovision song contest entry;song;1
song;Eurovision song contest entry;2
movie;work;1
work;movie;2
film festival;societal event;1
societal event;film festival;2
football league season;sports team season;1
sports team season;football league season;2
football match;sports event;1
sports event;football match;2
game;activity;1
activity;game;2
golf tournament;tournament;1
tournament;golf tournament;2
government agency;organisation;1
organisation;government agency;2
Grand Prix;sports event;1
sports event;Grand Prix;2
historic building;building;1
building;historic building;2
historic place;place;1
place;historic place;2
hockey team;sports team;1
sports team;hockey team;2
horse race;race;1
race;horse race;2
hospital;building;1
building;hospital;2
hotel;building;1
building;hotel;2
HumanGene;gene;1
gene;HumanGene;2
information appliance;device;1
device;information appliance;2
insect;animal;1
animal;insect;2
lake;body of water;1
body of water;lake;2
legislature;organisation;1
organisation;legislature;2
library;educational institution;1
educational institution;library;2
locomotive;mean of transportation;1
mean of transportation;locomotive;2
magazine;periodical literature;1
periodical literature;magazine;2
manga;comic;1
comic;manga;2
military conflict;societal event;1
societal event;military conflict;2
military structure;architectural structure;1
architectural structure;military structure;2
military unit;organisation;1
organisation;military unit;2
monument;architectural structure;1
architectural structure;monument;2
motorsport season;sports season;1
sports season;motorsport season;2
mountain;natural place;1
natural place;mountain;2
museum;building;1
building;museum;2
musical;musical work;1
musical work;musical;2
musical artist;artist;1
artist;musical artist;2
national collegiate athletic association team season;sports team season;1
sports team season;national collegiate athletic association team season;2
national football league season;football league season;1
football league season;national football league season;2
newspaper;periodical literature;1
periodical literature;newspaper;2
olympics;sports event;1
sports event;olympics;2
organisation;agent;1
agent;organisation;2
Outbreak;event;1
event;Outbreak;2
park;place;1
place;park;2
Pharaoh;royalty;1
royalty;Pharaoh;2
philosopher;person;1
person;philosopher;2
planet;celestial body;1
celestial body;planet;2
plant;eukaryote;1
eukaryote;plant;2
play;written work;1
written work;play;2
political function;person function;1
person function;political function;2
political party;organisation;1
organisation;political party;2
politician;person;1
person;politician;2
power station;infrastructure;1
infrastructure;power station;2
programming language;language;1
language;programming language;2
protected area;place;1
place;protected area;2
protein;Biomolecule;1
Biomolecule;protein;2
racing driver;motorsport racer;1
motorsport racer;racing driver;2
radio host;presenter;1
presenter;radio host;2
radio program;work;1
work;radio program;2
radio station;broadcaster;1
broadcaster;radio station;2
railway line;route of transportation;1
route of transportation;railway line;2
record label;company;1
company;record label;2
religious;person;1
person;religious;2
reptile;animal;1
animal;reptile;2
research project;project;1
project;research project;2
restaurant;building;1
building;restaurant;2
road;route of transportation;1
route of transportation;road;2
road junction;route of transportation;1
route of transportation;road junction;2
roller coaster;amusement park attraction;1
amusement park attraction;roller coaster;2
royalty;person;1
person;royalty;2
rugby club;sports club;1
sports club;rugby club;2
rugby league;sports league;1
sports league;rugby league;2
rugby player;athlete;1
athlete;rugby player;2
sales;activity;1
activity;sales;2
settlement;populated place;1
populated place;settlement;2
ship;mean of transportation;1
mean of transportation;ship;2
shopping mall;building;1
building;shopping mall;2
single;musical work;1
musical work;single;2
soccer club;sports club;1
sports club;soccer club;2
soccer club season;sports team season;1
sports team season;soccer club season;2
soccer league;sports league;1
sports league;soccer league;2
soccer tournoment;tournament;1
tournament;soccer tournoment;2
song;musical work;1
musical work;song;2
sound;document;1
document;sound;2
space mission;societal event;1
societal event;space mission;2
sports event;societal event;1
societal event;sports event;2
sports league;organisation;1
organisation;sports league;2
Sports team member;Organisation member;1
Organisation member;Sports team member;2
star;celestial body;1
celestial body;star;2
station;infrastructure;1
infrastructure;station;2
Supreme Court of the United States case;Legal Case;1
Legal Case;Supreme Court of the United States case;2
television episode;work;1
work;television episode;2
television season;work;1
work;television season;2
television show;work;1
work;television show;2
television station;broadcaster;1
broadcaster;television station;2
tennis tournament;tournament;1
tournament;tennis tournament;2
tenure;time period;1
time period;tenure;2
theatre;venue;1
venue;theatre;2
top level domain;identifier;1
identifier;top level domain;2
town;settlement;1
settlement;town;2
trade union;organisation;1
organisation;trade union;2
train;mean of transportation;1
mean of transportation;train;2
university;educational institution;1
educational institution;university;2
venue;building;1
building;venue;2
video game;software;1
software;video game;2
village;settlement;1
settlement;village;2
weapon;device;1
device;weapon;2
website;work;1
work;website;2
Women's Tennis Association tournament;tournament;1
tournament;Women's Tennis Association tournament;2
wrestling event;sports event;1
sports event;wrestling event;2
writer;person;1
person;writer;2
written work;work;1
work;written work;2
year;time period;1
time period;year;2
year in spaceflight;time period;1
time period;year in spaceflight;2
constellation;celestial body;1
celestial body;constellation;2
battery;device;1
device;battery;2
chancellor;politician;1
politician;chancellor;2
cricket league;sports league;1
sports league;cricket league;2
golf league;sports league;1
sports league;golf league;2
lacrosse league;sports league;1
sports league;lacrosse league;2
olympic event;olympics;1
olympics;olympic event;2
presenter;person;1
person;presenter;2
speedway league;sports league;1
sports league;speedway league;2
water ride;amusement park attraction;1
amusement park attraction;water ride;2
broadcaster;organisation;1
organisation;broadcaster;2
cartoon;work;1
work;cartoon;2
case;unit of work;1
unit of work;case;2
celestial body;place;1
place;celestial body;2
document;work;1
work;document;2
gene;Biomolecule;1
